,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Player,Team,Matches,Innings,Runs,Fifties,Highest Score,Day,Month
105,105,105.0,105.0,5.0,,,,6,Hardik Pandya,Gujarat,5,5,228,2,87,18,4
106,106,106.0,106.0,6.0,,,,7,Shreyas Iyer,Kolkata,7,7,236,2,85,18,4
107,107,107.0,107.0,7.0,,,,8,Ishan Kishan,Mumbai,6,6,191,2,81,18,4
108,108,108.0,108.0,8.0,,,,9,Quinton de Kock,Lucknow,6,6,212,2,80,18,4
109,109,109.0,109.0,9.0,,,,10,Aiden Markram,Hyderabad,6,5,190,2,68,18,4
110,110,110.0,110.0,10.0,,,,11,Suryakumar Yadav,Mumbai,4,4,200,2,68,18,4
111,111,111.0,111.0,11.0,,,,12,David Warner,Delhi,3,3,131,2,66,18,4
112,112,112.0,112.0,12.0,,,,13,Prithvi Shaw,Delhi,5,5,176,2,61,18,4
113,113,113.0,113.0,13.0,,,,14,Deepak Hooda,Lucknow,6,6,170,2,55,18,4
114,114,114.0,114.0,14.0,,,,15,Lokesh Rahul,Lucknow,6,6,235,1,103,18,4
115,115,115.0,115.0,15.0,,,,16,David Miller,Gujarat,6,6,193,1,94,18,4
116,116,116.0,116.0,16.0,,,,17,Faf du Plessis,Bangalore,6,6,154,1,88,18,4
117,117,117.0,117.0,17.0,,,,18,Abhishek Sharma,Hyderabad,6,6,173,1,75,18,4
118,118,118.0,118.0,18.0,,,,19,Ruturaj Gaikwad,Chennai,6,6,108,1,73,18,4
119,119,119.0,119.0,19.0,,,,20,Rahul Tripathi,Hyderabad,6,6,205,1,71,18,4
120,120,120.0,120.0,20.0,,,,21,Andre Russell,Kolkata,7,6,179,1,70,18,4
121,121,121.0,121.0,21.0,,,,22,Shikhar Dhawan,Punjab,6,6,205,1,70,18,4
122,122,122.0,122.0,22.0,,,,23,Anuj Rawat,Bangalore,6,6,125,1,66,18,4
123,123,123.0,123.0,23.0,,,,24,Dinesh Karthik,Bangalore,6,6,197,1,66,18,4
124,124,124.0,124.0,24.0,,,,25,Tilak Varma,Mumbai,6,6,183,1,61,18,4
125,125,125.0,0.0,,,,,1,Liam Livingstone,Punjab,6,6,224,3,64,19,4
126,126,126.0,1.0,,,,,2,Jos Buttler,Rajasthan,6,6,375,2,103,19,4
127,127,127.0,2.0,,,,,3,Faf du Plessis,Bangalore,7,7,250,2,96,19,4
128,128,128.0,3.0,,,,,4,Shubman Gill,Gujarat,6,6,200,2,96,19,4
129,129,129.0,4.0,,,,,5,Shivam Dube,Chennai,6,6,226,2,95,19,4
130,130,130.0,5.0,,,,,6,Robin Uthappa,Chennai,6,6,197,2,88,19,4
131,131,131.0,6.0,,,,,7,Hardik Pandya,Gujarat,5,5,228,2,87,19,4
132,132,132.0,7.0,,,,,8,Shreyas Iyer,Kolkata,7,7,236,2,85,19,4
133,133,133.0,8.0,,,,,9,Ishan Kishan,Mumbai,6,6,191,2,81,19,4
