,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Player,Team,Matches,Innings,Average,Day,Month
188,13,,,,,,,14,Rahul Chahar,Punjab,7,7,19.4,21,4
189,14,,,,,,,15,Dwaine Pretorius,Chennai,3,3,19.5,21,4
190,15,,,,,,,16,Wanindu Hasaranga,Bangalore,7,7,19.55,21,4
191,16,,,,,,,17,Yash Dayal,Gujarat,2,2,20.0,21,4
192,17,,,,,,,18,Avesh Khan,Lucknow,7,7,20.09,21,4
193,18,,,,,,,19,Obed McCoy,Rajasthan,1,1,20.5,21,4
194,19,,,,,,,20,Umesh Yadav,Kolkata,7,7,20.7,21,4
195,20,,,,,,,21,Jason Holder,Lucknow,5,5,21.62,21,4
196,21,,,,,,,22,Harshal Patel,Bangalore,6,6,21.88,21,4
197,22,,,,,,,23,Umran Malik,Hyderabad,6,6,22.33,21,4
198,23,,,,,,,24,Mohammed Shami,Gujarat,6,6,22.75,21,4
199,24,,,,,,,25,Bhuvneshwar Kumar,Hyderabad,6,6,23.25,21,4
